Transaction_ID,Customer_ID,Ticket_Price,Category,Quantity,Discount_Applied,Snack_Amount,Age,Gender,Location,Preferred_Snacks,Visitation_Frequency,Membership_Type,Membership_Status,Loyalty_Points,Recency,Frequency,Monetary,Amount
TXN2721466,CUST01655,150,Merchandise,7,602.02,0,49,Male,Tier_3,Nachos,Weekly,Basic,Member,745,3,3,9177.53,447.98
TXN2682597,CUST01991,250,Merchandise,8,96.55,0,42,Female,Tier_3,Cold Drink,Yearly,Premium,Non-Member,431,165,5,15771.5,1903.45
TXN6891727,CUST00250,250,Ticket,9,54.37,0,44,Female,Tier_3,Nachos,Yearly,Premium,Member,36,112,6,12694.42,2195.63
TXN1220972,CUST00582,350,Snacks,3,268.43,100,60,Female,Tier_1,Popcorn,Monthly,Basic,Member,300,15,7,14597.26,881.5699999999999
TXN1021622,CUST00066,150,Ticket,9,294.14,0,19,Male,Tier_3,Popcorn,Monthly,Basic,Non-Member,45,140,6,22136.22,1055.8600000000001
TXN2707582,CUST00764,150,Ticket,1,446.17,50,42,Male,Tier_3,Samosa,Weekly,Gold,Non-Member,880,68,6,10185.93,-246.17000000000002
TXN8432244,CUST00653,250,Merchandise,3,748.06,0,41,Female,Tier_3,Nachos,Yearly,Gold,Non-Member,841,75,4,13322.78,1.9400000000000546
TXN2974010,CUST00593,350,Snacks,1,507.83,50,41,Male,Tier_1,Cold Drink,Yearly,Gold,Member,976,109,6,11634.509999999998,-107.82999999999998
TXN3141204,CUST00060,150,Ticket,5,6.64,100,62,Male,Tier_2,Cold Drink,Yearly,Premium,Member,276,71,9,29432.93,843.36
TXN6054678,CUST00497,350,Ticket,9,902.76,0,54,Male,Tier_2,Popcorn,Quarterly,Gold,Member,756,25,6,17648.94,2247.24
TXN8877422,CUST00590,450,Snacks,3,249.49,0,25,Female,Tier_2,Popcorn,Monthly,Gold,Member,743,237,5,7412.210000000001,1100.51
TXN9555363,CUST01314,250,Ticket,6,297.0,0,29,Female,Tier_3,Popcorn,Yearly,Premium,Non-Member,833,95,7,23769.36,1203.0
TXN2936236,CUST00952,250,Ticket,10,258.4,100,48,Female,Tier_2,Popcorn,Yearly,Premium,Member,342,23,6,11887.38,2341.6
TXN5018995,CUST01908,150,Snacks,9,396.54,150,64,Male,Tier_1,Samosa,Weekly,Gold,Member,611,92,5,10103.97,1103.46
TXN7242491,CUST01607,350,Merchandise,9,880.47,0,23,Female,Tier_3,Cold Drink,Monthly,Premium,Member,791,197,3,7067.12,2269.5299999999997
TXN8031362,CUST01709,450,Merchandise,5,347.54,0,49,Male,Tier_3,Cold Drink,Monthly,Basic,Member,987,75,4,14343.420000000002,1902.46
TXN7329409,CUST00031,150,Snacks,8,124.48,100,48,Male,Tier_3,Cold Drink,Monthly,Gold,Non-Member,997,35,4,11617.39,1175.52
TXN8449959,CUST00761,150,Snacks,8,206.35,0,65,Female,Tier_2,Samosa,Monthly,Basic,Non-Member,605,23,3,6108.68,993.65
TXN2159508,CUST01360,150,Ticket,1,284.61,0,52,Female,Tier_1,Ice Cream,Yearly,Basic,Member,444,69,6,11122.79,-134.61
TXN7685188,CUST01481,250,Merchandise,7,275.33,150,55,Female,Tier_1,Nachos,Yearly,Premium,Non-Member,133,48,6,17659.39,1624.67
TXN9370105,CUST01585,350,Ticket,3,195.03,0,37,Male,Tier_2,Cold Drink,Yearly,Gold,Non-Member,419,54,8,16448.79,854.97
TXN4566699,CUST00357,150,Ticket,8,306.93,0,54,Male,Tier_2,Ice Cream,Monthly,Gold,Non-Member,28,102,4,10431.85,893.0699999999999
TXN6553158,CUST01475,250,Snacks,6,487.81,150,57,Female,Tier_2,Samosa,Quarterly,Basic,Member,250,176,7,16938.32,1162.19
TXN1483087,CUST00578,250,Snacks,7,12.82,50,54,Female,Tier_2,Nachos,Weekly,Gold,Member,999,167,2,3085.36,1787.18
TXN8586294,CUST00756,250,Ticket,3,220.79,100,48,Female,Tier_3,Cold Drink,Monthly,Basic,Non-Member,460,32,6,6497.0,629.21
TXN4041426,CUST00735,150,Snacks,3,510.05,0,21,Female,Tier_3,Nachos,Quarterly,Premium,Non-Member,233,57,4,13977.73,-60.05000000000001
