Transaction_ID,Customer_ID,Ticket_Price,Category,Quantity,Discount_Applied,Snack_Amount,Age,Gender,Location,Preferred_Snacks,Visitation_Frequency,Membership_Type,Membership_Status,Loyalty_Points,Recency,Frequency,Monetary,Amount
1904,1646,150,0,7,602.02,0,49,1,2,2,2,0,0,745,4,3,9177.53,447.98
1862,1976,250,0,8,96.55,0,42,0,2,0,3,2,1,431,165,5,15771.5,1903.45
6566,248,250,2,9,54.37,0,44,0,2,2,3,2,0,49,112,6,12694.42,2195.63
230,580,350,1,3,268.43,100,60,0,0,3,0,0,0,300,15,7,14597.26,881.5699999999999
21,65,150,2,9,294.14,0,20,1,2,3,0,0,1,49,140,6,22136.22,1055.8600000000001
1892,760,150,2,1,446.17,50,42,1,2,4,2,1,1,880,68,6,10185.93,-246.17000000000002
8241,651,250,0,3,748.06,0,41,0,2,2,3,1,1,841,75,4,13322.78,1.9400000000000546
2208,591,350,1,1,507.83,50,41,1,0,0,3,1,0,945,109,6,11634.509999999998,-107.82999999999998
2390,59,150,2,5,16.779000000000003,100,62,1,1,0,3,2,0,276,71,9,26885.26,843.36
5607,495,350,2,9,902.76,0,54,1,1,3,1,1,0,756,25,6,17648.94,2247.24
8746,588,450,1,3,249.49,0,25,0,1,3,0,1,0,743,165,5,7412.210000000001,1100.51
9517,1307,250,2,6,297.0,0,29,0,2,3,3,2,1,833,95,7,23769.36,1203.0
2166,947,250,2,10,258.4,100,48,0,1,3,3,2,0,342,23,6,11887.38,2341.6
4438,1894,150,1,9,396.54,150,63,1,0,4,2,1,0,611,92,5,10103.97,1103.46
6946,1598,350,0,9,880.47,0,23,0,2,0,0,2,0,791,165,3,7067.12,2269.5299999999997
7812,1699,450,0,5,347.54,0,49,1,2,0,0,0,0,945,75,4,14343.420000000002,1902.46
7037,30,150,1,8,124.48,100,48,1,2,0,0,1,1,945,35,4,11617.39,1175.52
8261,757,150,1,8,206.35,0,63,0,1,4,0,0,1,605,23,3,6108.68,993.65
